,Bitcoin-BTC,Ethereum-ETH,Bitcoin-BSV,Litecoin-LTC,Monero-XMR,Dash-DASH,Kusama-KSM,Zcash-ZEC,Bitcoin Cash-BCH,Counos-CCXX,FCHI,CN20,CACMD,MDAXI,TECDAX,GDAXI,STOXX50E,BSESN,NSEI,FTMIB,FTITMC,TOPX,JPXNK400,N225,IMOEX,KQ11,KS11,BVSP,FTTASX,FTSE,FTEUEB,FTAS,DJI,IXIC,SPX,GSPTSE,W5000,CSIID301,SSEC
2000-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-04,,,,,,,,,,,-0.04146267683109206,-0.04209125802839009,-0.027925037202381042,-0.019029159145698915,-0.03370372095912533,,,,0.02920487375957803,,,,,,,,,,,,,,,-0.05554385582706989,,,,,
2000-01-05,,,,,,,,,,,-0.033906791583950824,-0.02862635847299433,-0.03270504939364227,-0.013322433011181078,-0.033629719511264033,,,,-0.02617928846036499,,,,,,,,-0.06867540413959816,,,,,,,-0.006189625521248465,,-0.010140687099212453,,,0.002353576939212454
2000-01-06,,,,,,,,,,,-0.00539993065313793,-0.01304793294572204,0.006451580995902484,0.0053268316616059685,-0.004269968442979111,,,,0.01366085975686171,,,,,,0.07664739884393068,,-0.025874218045036534,,,,,,,-0.038790057613847906,,-0.0006379766042402535,,,0.038491005050791616
2000-01-07,,,,,,,,,,,0.01642168690173218,0.033136548595824156,0.01819383498031968,0.019760218119343254,0.04063844001837236,,,,-0.002658259149357023,,,,,,0.0,,-0.012635435422933217,,,,,,,0.04171842677878157,,0.0388428244666168,,,0.035971419593699094
2000-01-10,,,,,,,,,,,0.01922698529318856,0.020489984019628427,0.0272048763184376,0.01271636499483586,0.06491588841296436,,,,0.01218000371908512,,,,,,0.07811661118866109,,0.040678859431824144,,,,,,,0.0430250706996822,,0.020532848048857355,,,0.018798628511143445
2000-01-11,,,,,,,,,,,-0.005706573717880636,-0.004405225372358101,0.002903555445928241,-0.000496673972114059,0.00420495778086738,,,,-0.03701889218898313,,,,,,-0.00617499128529464,,-0.00598638628904824,,,,,,,-0.03172604187501693,,-0.01858645742516707,,,-0.042281779290794796
2000-01-12,,,,,,,,,,,-0.005593259587808763,-0.016747594506836605,-0.0012672133720289525,0.0052273171343590885,0.0017109602764551202,,,,0.03325914149443565,,,,,,-0.01347897980658419,,-0.02682074327698125,,,,,,,-0.018150102392386014,,-0.009789626667582874,,,-0.028220411142196755
2000-01-13,,,,,,,,,,,0.00908911777877286,0.006972300657238195,0.004667198273840212,0.006954309848339557,0.00300217625003274,,,,-0.002092565238798527,,,,,,0.06689353921170271,,-0.004146553439231093,,,,,,,0.02784141381083738,,0.006935439882487682,,,-0.009443540423638042
2000-01-14,,,,,,,,,,,0.027373234586135053,0.013783862931598279,0.014183999813245585,0.013671958781558358,0.042405083381726216,,,,0.0008326137905512176,,,,,,0.034420376100928296,,-0.003175437674149628,,,,,,,0.027054414600185428,,-0.007184655628336811,,,-0.010944651933391447
2000-01-17,,,,,,,,,,,0.00956208617281562,0.011319164427631367,0.014802760297021988,0.00305627064452052,0.02258629059271766,,,,-0.006871052226159358,,,,,,0.011275773195876138,,0.03717181945719017,,,,,,,0.0,,0.014575002452898556,,,0.01737587393973805
