low,high,open,close,volume,base_currency,quote_currency,date
322.73,372.75,344.39,361.91,11106.21831574,BCH,EUR,2021-01-22
333.15,411.5,411.38,344.03,17228.07354289,BCH,EUR,2021-01-21
390.4,427.22,418.54,410.1,8295.96530437,BCH,EUR,2021-01-20
414.97,455.0,421.38,418.71,10228.98582593,BCH,EUR,2021-01-19
389.23,424.84,397.12,420.68,5935.63902611,BCH,EUR,2021-01-18
383.26,409.66,404.4,396.59,5493.08875696,BCH,EUR,2021-01-17
392.45,425.54,407.81,405.4,7667.6387815,BCH,EUR,2021-01-16
374.58,439.47,433.38,407.33,12791.81134031,BCH,EUR,2021-01-15
397.89,443.27,408.55,433.38,14363.1246773,BCH,EUR,2021-01-14
356.77,412.0,370.53,408.37,10464.55231506,BCH,EUR,2021-01-13
364.83,423.0,390.59,370.34,23535.44482256,BCH,EUR,2021-01-12
306.0,489.22,488.29,390.36,41671.6834993,BCH,EUR,2021-01-11
427.0,510.0,469.17,489.17,52012.4605336,BCH,EUR,2021-01-10
342.27,527.47,357.7,468.67,44349.02261603,BCH,EUR,2021-01-09
330.01,371.13,365.42,357.69,13841.52854614,BCH,EUR,2021-01-08
348.27,394.78,368.48,365.19,15371.23465201,BCH,EUR,2021-01-07
334.0,374.0,341.03,367.34,13181.03125871,BCH,EUR,2021-01-06
317.77,346.17,332.0,341.39,9255.53978717,BCH,EUR,2021-01-05
293.01,357.19,329.21,330.88,15238.34797652,BCH,EUR,2021-01-04
282.25,336.81,285.03,329.21,19645.1118734,BCH,EUR,2021-01-03
255.0,298.08,279.56,285.39,15002.15071928,BCH,EUR,2021-01-02
272.73,290.41,280.53,280.35,18450.94712418,BCH,EUR,2021-01-01
20.63088,21.90074,20.98,21.38498,19617.801,BAL,USD,2021-01-26
20.76742,24.75756,23.10384,20.99,83721.584,BAL,USD,2021-01-25
20.39301,23.25,20.61251,23.09798,65628.143,BAL,USD,2021-01-24
19.65346,21.29492,19.89835,20.64587,53527.468,BAL,USD,2021-01-23
16.8567,21.06966,18.15934,19.9189,92307.126,BAL,USD,2021-01-22
17.7,22.6229,22.31117,18.17088,82484.014,BAL,USD,2021-01-21
19.87,22.78428,22.09,22.27352,89261.488,BAL,USD,2021-01-20
21.81151,25.31422,23.0049,22.12042,122654.609,BAL,USD,2021-01-19
20.16646,23.13194,20.83768,22.98992,155932.04,BAL,USD,2021-01-18
18.01001,21.9695,19.34262,20.81751,84952.539,BAL,USD,2021-01-17
17.74001,20.98765,17.80562,19.35,121194.433,BAL,USD,2021-01-16
15.75,18.4461,17.76145,17.80562,84310.838,BAL,USD,2021-01-15
16.50651,19.25776,17.545,17.73052,79931.855,BAL,USD,2021-01-14
14.81582,17.55202,15.32707,17.52,75307.295,BAL,USD,2021-01-13
14.81845,17.44,16.15,15.32881,119863.344,BAL,USD,2021-01-12
13.5,19.20627,19.18,16.17155,187485.343,BAL,USD,2021-01-11
17.6457,22.0,19.91985,19.19,126652.682,BAL,USD,2021-01-10
17.43,21.02387,17.98509,19.91985,99139.12,BAL,USD,2021-01-09
15.75318,19.15927,18.45501,18.0291,119131.486,BAL,USD,2021-01-08
16.92828,19.6399,18.51515,18.455,139901.078,BAL,USD,2021-01-07
16.32064,18.62355,16.98483,18.51288,93230.262,BAL,USD,2021-01-06
15.04109,17.50366,15.88157,16.88475,120598.185,BAL,USD,2021-01-05
13.83457,17.68443,15.91193,15.84701,120985.416,BAL,USD,2021-01-04
14.36425,16.5,14.70113,15.90184,90767.747,BAL,USD,2021-01-03
13.56999,15.11413,14.00071,14.6943,63375.606,BAL,USD,2021-01-02
13.63001,14.64841,13.78455,13.99628,52218.003,BAL,USD,2021-01-01
0.4543,0.482,0.455,0.4624,479743.0,ALGO,EUR,2021-01-26
0.4541,0.5212,0.4645,0.4576,3632775.0,ALGO,EUR,2021-01-25
0.45,0.4783,0.4572,0.4639,1523942.0,ALGO,EUR,2021-01-24
0.4128,0.4705,0.4191,0.4575,2312202.0,ALGO,EUR,2021-01-23
0.3528,0.4438,0.3804,0.4188,2636644.0,ALGO,EUR,2021-01-22
0.3691,0.4533,0.4526,0.3793,1693635.0,ALGO,EUR,2021-01-21
0.401,0.453,0.4317,0.4525,3203612.0,ALGO,EUR,2021-01-20
0.4255,0.4732,0.4688,0.4307,2442969.0,ALGO,EUR,2021-01-19
0.4487,0.5023,0.4868,0.4693,2592633.0,ALGO,EUR,2021-01-18
0.4003,0.4861,0.4241,0.4853,3202821.0,ALGO,EUR,2021-01-17
0.401,0.4547,0.4046,0.4261,3343759.0,ALGO,EUR,2021-01-16
0.3513,0.411,0.3736,0.4035,3226784.0,ALGO,EUR,2021-01-15
0.3537,0.3838,0.3712,0.3751,1265241.0,ALGO,EUR,2021-01-14
0.3116,0.3734,0.3253,0.3708,1917612.0,ALGO,EUR,2021-01-13
0.3201,0.3557,0.3422,0.3274,2535598.0,ALGO,EUR,2021-01-12
0.267,0.3709,0.3709,0.3415,5513888.0,ALGO,EUR,2021-01-11
0.3282,0.4164,0.3945,0.374,4199167.0,ALGO,EUR,2021-01-10
0.3562,0.4031,0.3729,0.3935,3686196.0,ALGO,EUR,2021-01-09
0.3356,0.3966,0.3774,0.3728,4252345.0,ALGO,EUR,2021-01-08
0.3526,0.4224,0.417,0.3782,6909353.0,ALGO,EUR,2021-01-07
0.3732,0.4319,0.3918,0.4152,9169044.0,ALGO,EUR,2021-01-06
0.3291,0.404,0.3644,0.3908,15395228.0,ALGO,EUR,2021-01-05
0.283,0.365,0.3305,0.3625,8499769.0,ALGO,EUR,2021-01-04
0.3086,0.35,0.328,0.3294,5650127.0,ALGO,EUR,2021-01-03
0.29,0.3793,0.3265,0.3283,17205498.0,ALGO,EUR,2021-01-02
0.2722,0.3545,0.2752,0.3265,24293808.0,ALGO,EUR,2021-01-01
8.8665,9.508,8.9714,9.1514,156642.51,BAND,USD,2021-01-26
8.9,10.3563,9.3915,8.9567,1075345.54,BAND,USD,2021-01-25
8.8612,9.9838,9.6292,9.3915,839450.07,BAND,USD,2021-01-24
8.32,10.2177,8.557,9.6251,1267906.95,BAND,USD,2021-01-23
7.2102,9.0184,7.7707,8.5582,727392.48,BAND,USD,2021-01-22
7.56,9.5768,9.4407,7.7817,795224.04,BAND,USD,2021-01-21
8.55,9.7255,9.4577,9.4439,1133508.34,BAND,USD,2021-01-20
9.44,10.67,9.9372,9.448,942196.38,BAND,USD,2021-01-19
9.34,10.8876,10.3395,9.9285,1088369.03,BAND,USD,2021-01-18
9.2,10.7164,10.1787,10.3131,1221460.18,BAND,USD,2021-01-17
9.8497,11.482,10.5045,10.1784,1963960.35,BAND,USD,2021-01-16
8.6634,10.64,8.8836,10.512,2121087.66,BAND,USD,2021-01-15
8.3941,9.25,8.9619,8.8778,1005847.0,BAND,USD,2021-01-14
7.4992,9.2497,7.8521,8.9518,731994.13,BAND,USD,2021-01-13
7.5,8.6952,7.9885,7.8522,757036.17,BAND,USD,2021-01-12
6.9361,9.1444,9.1361,7.9821,1340375.36,BAND,USD,2021-01-11
8.3355,10.774,9.9223,9.1244,1342423.64,BAND,USD,2021-01-10
